epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2310.66,0.84594,0.41807,1.09984,0.9946,0.99766,0.99498,0.56252,0.82965,5.30453,0.66467,0.0016865,0.0016865,0.0016865
97,2328.67,1.0231,0.47876,1.20598,0.99767,0.97892,0.99475,0.71956,0.539,1.96139,0.50996,0.0016832,0.0016832,0.0016832
98,2360.22,0.91932,0.44933,1.1308,0.99507,0.99766,0.995,0.73719,0.52894,0.5968,0.51176,0.0016799,0.0016799,0.0016799
99,2384.77,0.90529,0.46001,1.14651,0.99587,0.99766,0.995,0.83544,0.3399,5.25387,0.44667,0.0016766,0.0016766,0.0016766
100,2412.74,0.83454,0.42128,1.07887,1,0.99974,0.995,0.67084,0.61386,3.15422,0.55404,0.0016733,0.0016733,0.0016733
101,2440.63,0.83394,0.47012,1.09985,0.99766,0.99943,0.995,0.77513,0.44483,3.21269,0.49218,0.00167,0.00167,0.00167
102,2460.92,0.8548,0.42492,1.10053,0.99816,1,0.995,0.69304,0.59815,2.82764,0.54906,0.0016667,0.0016667,0.0016667
103,2474.68,0.85475,0.42645,1.09969,1,0.99968,0.995,0.73856,0.53088,0.53891,0.52877,0.0016634,0.0016634,0.0016634
104,2498.83,0.85648,0.42011,1.10579,0.99746,1,0.995,0.8541,0.314,0.16596,0.4446,0.0016601,0.0016601,0.0016601
105,2520.23,0.86399,0.41855,1.12589,0.99766,0.99946,0.995,0.8337,0.33068,0.96436,0.45123,0.0016568,0.0016568,0.0016568
106,2542.85,0.87621,0.42918,1.12474,0.99758,0.99766,0.995,0.83621,0.35431,0.48526,0.4553,0.0016535,0.0016535,0.0016535
107,2557.12,0.89047,0.42574,1.14464,0.99958,0.99766,0.995,0.85937,0.30773,0.44058,0.43891,0.0016502,0.0016502,0.0016502
108,2582.29,0.81071,0.40962,1.07606,0.99969,1,0.995,0.7766,0.41849,0.83363,0.46555,0.0016469,0.0016469,0.0016469
109,2612.21,0.84321,0.42117,1.08444,0.99934,1,0.995,0.75317,0.49329,1.34381,0.49121,0.0016436,0.0016436,0.0016436
110,2637.52,0.80336,0.40335,1.06531,0.99937,1,0.995,0.86049,0.29658,0.61985,0.43574,0.0016403,0.0016403,0.0016403
111,2662.28,0.81938,0.4024,1.08309,0.99439,0.99766,0.995,0.85633,0.29985,5.11212,0.43903,0.001637,0.001637,0.001637
112,2688.99,0.85221,0.45827,1.11118,0.99766,0.99916,0.995,0.82485,0.37315,0.23059,0.46538,0.0016337,0.0016337,0.0016337
113,2714.51,0.86327,0.42284,1.11154,0.99891,0.99766,0.995,0.84657,0.32577,0.22748,0.4544,0.0016304,0.0016304,0.0016304
